INDIKATOR_GRUPPE,INDIKATOR_BEZEICHNUNG,INDIKATOR_AUSPRAEGUNG,INDIKATOR_WERT,BASISWERT_1,BASISWERT_2,BASISWERT_3,BASISWERT_4,BASISWERT_5,NAME_BASISWERT1,NAME_BASISWERT2,NAME_BASISWERT3,NAME_BASISWERT4,NAME_BASISWERT5,JAHR,GLIEDERUNG,NUMMER,NAME
Kinderbetreuung,Betreuungsangebot,Wert,"1.6",815,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,1,01 Altstadt - Lehel
Kinderbetreuung,Betreuungsangebot,Wert,"3.4",1733,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,2,02 Ludwigsvorstadt - Isarvorstadt
Kinderbetreuung,Betreuungsangebot,Wert,"3.6",1875,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,3,03 Maxvorstadt
Kinderbetreuung,Betreuungsangebot,Wert,"2.4",1238,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,4,04 Schwabing - West
Kinderbetreuung,Betreuungsangebot,Wert,"4.7",2441,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,5,05 Au - Haidhausen
Kinderbetreuung,Betreuungsangebot,Wert,"3.3",1727,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,6,06 Sendling
Kinderbetreuung,Betreuungsangebot,Wert,"2.8",1462,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,7,07 Sendling - Westpark
Kinderbetreuung,Betreuungsangebot,Wert,"2.2",1126,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,8,08 Schwanthalerhöhe
Kinderbetreuung,Betreuungsangebot,Wert,"5.9",3045,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,9,09 Neuhausen - Nymphenburg
Kinderbetreuung,Betreuungsangebot,Wert,"3.6",1874,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,10,10 Moosach
Kinderbetreuung,Betreuungsangebot,Wert,"5.8",2979,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,11,11 Milbertshofen - Am Hart
Kinderbetreuung,Betreuungsangebot,Wert,"5.3",2742,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,12,12 Schwabing - Freimann
Kinderbetreuung,Betreuungsangebot,Wert,"5.4",2805,51643,,,,betreute Kinder in der ausgewählten räumlichen Einheit,alle betreute Kinder in München,,,,2007,Stadtbezirk,13,13 Bogenhausen
